DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,TYPE_UNIV_MANAGEMENT,FACULTY_TYPE,SEX,TITLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_TYPE_UNIV_MANAGEMENT,NOTE_FACULTY_TYPE,NOTE_SEX,NOTE_TITLE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,2,9,2008,3742,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,2,9,2009,3650,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,2,9,2010,3531,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,2,9,2011,3617,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,1,2007,3104,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,1,2008,3023,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,1,2009,2831,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,1,2010,2498,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,1,2011,2478,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,2,2007,3675,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,2,2008,3568,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,2,2009,3393,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,2,2010,3198,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,2,2011,3139,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,3,2007,5599,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,3,2008,5781,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,3,2009,5616,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,3,2010,5436,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,3,2011,5379,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,9,2007,12378,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,9,2008,12372,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,9,2009,11840,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,9,2010,11132,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,11,9,9,2011,10996,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,1,2007,258,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,1,2008,249,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,1,2009,240,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,1,2010,217,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,1,2011,202,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,2,2007,195,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,2,2008,188,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,2,2009,181,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,2,2010,181,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,2,2011,179,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,3,2007,201,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,3,2008,207,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,3,2009,208,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,3,2010,202,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,3,2011,207,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,9,2007,654,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,9,2008,644,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,12,1,9,2009,629,,,,,,,,,,,,,
